"Reference","Value","Qty","DNP","DNF","Distributor","LCSC","MF","MP","SMD","TH"
"C101,C102,C103,C104,C105,C106","CL05A106MQ5NUN","6","","","LCSC","C15525","Samsung Electro-Mechanics","CL05A106MQ5NUN","1",""
"C107","100nF/50V","1","","","LCSC","C42998","FH","0603F104M500NT","1",""
"C111","1nF/50V","1","","","LCSC","C100040","YAGEO","CC0603KRX7R9BB102","1",""
"C112,C113","22uF/25V(10%)","2","","","LCSC","C337455","Taiyo Yuden","TMK325B7226KM-TR","1",""
"C116","100µF/50V","1","","","LCSC","C311622","Lelon","VZT101M1HTR-0607","1",""
"C117","330µF/6.3V","1","","","LCSC","C74623","RVT0J331M0607","ROQANG","1",""
"D101,D102,D103,D104,D105,D106,D107,D108,D109,D110,D111,D112,D114","D_Schottky","13","","","LCSC","C496544","Shanghai Prisemi Elec","PSBD1DF40V2L","1",""
"D113","GREEN_LED","1","","","LCSC","C89809","Foshan NationStar Optoelectronics","NCD0603C3","1","0"
"D115,D116,D117","LESD5D5.0CT1G","3","","","LCSC","C383211","LRC","LESD5D5.0CT1G","1","0"
"D118","1N5819","1","","","","","","","0","1"
"J101,J102,J103,J104","WJ2EDGRC-5.08-4P","4","","","LCSC","C8446","Ningbo Kangnex Elec","WJ2EDGRC-5.08-4P","0","1"
"J105","Conn_01x05_Male","1","","DNF","","","","","0","0"
"J106,J107","Conn_01x03_Female","2","","","LCSC","C358717","generic","PinHeader,Feamle,P=2.54mm,3Pin,1Row,1A","0","1"
"J108","Conn_01x02_Female","1","","","LCSC","C3697","Ningbo Kangnex Elec","WJ2EDGRC-5.08-2P","0","1"
"J109","USB_C_Receptacle_USB2.0","1","","","LCSC","C165948","Korean Hroparts Elec","TYPE-C-31-M-12","1","0"
"L101","330µH","1","","","LCSC","C2929508","SHOU HAN","CYH127-330UH","1",""
"Q101,Q102,Q103,Q104,Q105,Q106,Q107,Q108,Q109,Q110,Q111,Q112","IRLR8743TRPBF","12","","","LCSC","C3040285","Infineon Technologies","IRLR8743TRPBF","1","0"
"Q113,Q114","Q_NPN_Darlington_BEC","2","","","LCSC","C164885","JIANGSU CHANGJIANG ELECTRONICS","SS8050","1",""
"R101,R102,R103,R104,R105,R106,R107,R108,R109,R110,R111,R112","91(1%)","12","","","","","","","1",""
"R113","68Ω/1%","1","","","LCSC","C126362","YAGEO","RC0603FR-0768RL","1","0"
"R114,R117,R118,R121,R131,R132,R133,R134,R135,R136,R137,R138,R139,R140,R141,R142","10K(5%)","16","","","","","","","1",""
"R119","2K(5%)","1","","","","","","","1","0"
"R120","47K(5%)","1","","","","","","","1",""
"R122","22K(1%)","1","","","","","","","1",""
"R123,R124","22(1%)","2","","","","","","","1",""
"R125,R126","5k1 (5%)","2","","","","","","","1","0"
"SW101,SW102","SW_Push","2","","","LCSC","C86708","Omron Electronics","B3SL-1022P","1",""
"U101","ESP32-WROOM-32U","1","","","LCSC","C328062","Espressif","ESP32-WROOM-32U","1",""
"U102","LM2575-3.3BU","1","","","LCSC","C70337","onsemi","LM2575D2T-3.3R4G","1",""
"U103","CP2102N-Axx-xQFN24","1","","","LCSC","C969151","Silicon Labs","CP2102N-A02-GQFN24R","1","0"
